"Wijken en buurten","Gemeentenaam","Soort regio","Codering","Indelingswijziging wijken en buurten","Aantal inwoners","Mannen","Vrouwen","0 tot 15 jaar","15 tot 25 jaar","25 tot 45 jaar","45 tot 65 jaar","65 jaar of ouder","Ongehuwd","Gehuwd","Gescheiden","Verweduwd","Westers totaal","Niet-westers totaal","Marokko","Nederlandse Antillen en Aruba","Suriname","Turkije","Overig niet-westers","Geboorte totaal","Geboorte relatief","Sterfte totaal","Sterfte relatief","Huishoudens totaal","Eenpersoonshuishoudens","Huishoudens zonder kinderen","Huishoudens met kinderen","Gemiddelde huishoudensgrootte","Bevolkingsdichtheid","Woningvoorraad","Gemiddelde woningwaarde","Percentage eengezinswoning","Percentage meergezinswoning","Percentage bewoond","Percentage onbewoond","Koopwoningen","Huurwoningen totaal","In bezit woningcorporatie","In bezit overige verhuurders","Eigendom onbekend","Bouwjaar voor 2000","Bouwjaar vanaf 2000","Gemiddeld elektriciteitsverbruik totaal","Appartement","Tussenwoning","Hoekwoning","Twee-onder-��n-kap-woning","Vrijstaande woning","Huurwoning","Koopwoning","Gemiddeld aardgasverbruik totaal","Appartement1","Tussenwoning1","Hoekwoning1","Twee-onder-��n-kap-woning1","Vrijstaande woning1","Huurwoning1","Koopwoning1","Percentage woningen met stadsverwarming","Aantal inkomensontvangers��","Gemiddeld inkomen per inkomensontvanger�","Gemiddeld inkomen per inwoner�","40% personen met laagste inkomen","20% personen met hoogste inkomen","Actieven 15-75 jaar","40% huishoudens met laagste inkomen","20% huishoudens met hoogste inkomen","Huishoudens met een laag inkomen","Huish. onder of rond sociaal minimum","Personen per soort uitkering, Bijstand","Personen per soort uitkering, AO","Personen per soort uitkering, WW","Personen per soort uitkering, AOW","Bedrijfsvestigingen totaal","A Landbouw, bosbouw en visserij","B-F Nijverheid en energie","G+I Handel en horeca","H+J Vervoer, informatie en communicatie","K-L Financi�le diensten, onroerend goed","M-N Zakelijke dienstverlening","R-U Cultuur, recreatie, overige diensten","Personenauto's totaal","Personenauto's, jonger dan 6 jaar","Personenauto's, 6 jaar en ouder","Personenauto's, brandstof benzine","Personenauto's, overige brandstof","Personenauto's per huishouden","Personenauto's naar oppervlakte","Bedrijfsmotorvoertuigen","Motortweewielers","Afstand tot huisartsenpraktijk","Afstand tot grote supermarkt","Afstand tot kinderdagverblijf","Afstand tot school","Scholen binnen 3 km","Oppervlakte totaal","Oppervlakte land","Oppervlakte water","Meest voorkomende postcode","Dekkingspercentage","Mate van stedelijkheid","Omgevingsadressendichtheid"
"Duivelseiland","Amsterdam","Buurt","BU03630450","1","1360","645","715","160","110","720","265","110","1025","240","80","20","350","135","5","15","25","10","90","25","17","5","3","860","525","205","135","1.6","23548","854","292","0","100",".",".",".",".",".",".",".","100","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","30","50","30","110","275","0","15","40","20","45","105","55","365","95","270","295","70","0.4","6298","25","25","0.1","0.4","0.3",".",".","6","6","0","1071","1","1","8766"
"Scheldebuurt","Amsterdam","Buurt","BU03630452","1","14710","6770","7940","2145","1705","5780","3015","2070","9715","3300","1175","530","2855","1520","230","100","315","115","765","275","18","90","6","8345","4625","1890","1835","1.7","10924","7399","302","2","98",".",".",".",".",".",".",".","97","3",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","270","380","350","2040","1835","0","65","310","185","165","740","370","3885","1005","2875","3290","595","0.5","2883","260","340","0.3","0.3","0.2",".",".","138","135","3","1078","4","1","7131"
"IJselbuurt","Amsterdam","Buurt","BU03630453","1","5205","2465","2740","605","650","2125","1210","625","3575","980","530","130","1045","1015","275","65","235","130","315","75","14","30","5","3205","1920","680","615","1.6","20265","2969","233","0","100",".",".",".",".",".",".",".","94","6",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","290","240","150","610","605","0","40","90","65","30","225","155","1200","255","940","1020","175","0.4","4662","90","115","0.3","0.3","0.3",".",".","29","26","3","1078","1","1","9236"
"Rijnbuurt","Amsterdam","Buurt","BU03630454","1","9055","4145","4910","1015","1115","3675","2050","1215","6255","1620","935","260","1580","1710","380","105","380","125","725","120","13","50","5","5795","3640","1165","1000","1.6","9446","5228","229","1","99",".",".",".",".",".",".",".","98","2",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","470","430","250","1190","1025","0","65","140","115","80","375","245","2255","565","1690","1925","335","0.4","2354","150","225","0.3","0.3","0.2",".",".","111","96","16","1079","1","1","5578"
"Station-Zuid WTC en omgeving","Amsterdam","Buurt","BU03630459","1","1400","655","745","255","110","405","325","315","760","495","85","75","390","215","5","10","15","5","190","20","13","5","5","790","465","160","175","1.8","1197","696","503","33","67",".",".",".",".",".",".",".","100","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0","20","20","310","835","0","30","100","60","250","355","45","780","385","400","605","175","1.0","666","40","10","0.4","0.6","0.3",".",".","125","117","8","1077","2","1","3716"
"Buitenveldert-West","Amsterdam","Buurt","BU03630490","1","13650","6460","7190","1605","1400","4325","2985","3340","7165","4240","1270","985","3460","2885","250","135","505","180","1815","155","11","175","12","8160","4840","1805","1525","1.7","3841","7933","252","13","87",".",".",".",".",".",".",".","88","12",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","250","390","260","3260","2015","5","125","355","160","380","745","250","7485","4400","3085","5585","1900","0.9","2106","240","255","0.4","0.5","0.4",".",".","437","355","81","1082","4","1","3479"
"Buitenveldert-Oost","Amsterdam","Buurt","BU03630491","1","7785","3590","4190","820","690","2340","1595","2350","3905","2310","810","775","1965","1655","150","65","275","160","1005","70","8","225","29","4540","2745","1025","780","1.6","4236","4321","203","8","92",".",".",".",".",".",".",".","96","4",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","190","270","130","2290","960","0","45","130","90","195","375","125","2760","1035","1725","2405","355","0.6","1502","70","130","0.7","0.3","0.5",".",".","198","184","14","1083","2","1","2997"
"Stadsdeel Oost","Amsterdam","Wijk","WK036305","1","128595","63525","65070","22470","17495","45670","31530","11430","85080","30370","10315","2840","20185","41145","12635","1520","9260","5780","11950","1690","13","605","4","68085","36215","13660","18215","1.9","7236","63941","235","8","92",".",".",".",".",".",".",".","73","27",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6230","5600","3100","11200","15510","5","895","2075","2240","1110","5800","3390","31185","8410","22775","24055","7125","0.5","1755","2665","2900","0.4","0.5","0.3",".",".","2252","1777","475",".",".","1","5513"
"Weesperzijde","Amsterdam","Buurt","BU03630527","1","4980","2530","2450","640","530","2245","1155","410","3600","1010","315","70","975","865","210","50","180","60","370","75","15","20","3","2995","1800","660","545","1.7","13422","2709","275","1","99",".",".",".",".",".",".",".","93","7",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","170","150","140","400","885","0","35","95","115","55","360","220","1160","255","900","945","210","0.4","3120","80","110","0.4","0.4","0.2",".",".","45","37","7","1091","1","1","9241"
"Oosterparkbuurt","Amsterdam","Buurt","BU03630528","1","10790","5400","5385","1360","1465","4165","2785","1020","7485","2115","965","235","1735","3800","1100","110","910","555","1130","125","11","50","4","6365","3845","1245","1285","1.7","15027","6113","210","1","99",".",".",".",".",".",".",".","95","5",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","740","530","290","990","1320","0","80","200","200","45","425","370","1980","355","1620","1590","390","0.3","2755","185","210","0.2","0.3","0.2",".",".","75","72","3","1091","4","1","8066"
"Dapperbuurt","Amsterdam","Buurt","BU03630529","1","8935","4425","4510","1085","1130","3300","2390","1030","5890","1905","890","260","1295","3535","1115","115","800","675","830","105","11","55","6","5230","3145","1035","1055","1.7","15120","4882","205","1","99",".",".",".",".",".",".",".","91","9",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","670","570","230","1010","1050","0","40","275","140","35","300","260","1670","335","1335","1330","340","0.3","2826","155","165","0.3","0.3","0.2",".",".","61","59","2","1093","1","1","8360"
"Transvaalbuurt","Amsterdam","Buurt","BU03630530","1","9105","4495","4610","1335","1405","3355","2200","825","6085","1935","885","215","1255","4160","1605","100","870","675","915","110","12","50","5","4985","2800","935","1250","1.8","24688","4522","198","2","98",".",".",".",".",".",".",".","99","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","770","490","260","800","790","0","50","105","120","25","245","250","1615","255","1360","1270","350","0.3","4380","135","130","0.4","0.3","0.3",".",".","38","37","1","1092","5","1","7503"
"Indische Buurt West","Amsterdam","Buurt","BU03630531","1","12655","6390","6265","1805","1710","5525","2650","970","8590","2810","1030","230","1925","6000","2380","140","1020","1025","1440","210","16","35","3","7115","4105","1450","1565","1.8","26786","6666","177","0","100",".",".",".",".",".",".",".","95","5",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","930","700","350","940","1245","0","85","195","190","30","385","360","2260","380","1885","1770","495","0.3","4788","220","190","0.3","0.3","0.3",".",".","49","47","1","1094","1","1","7953"
"Indische Buurt Oost","Amsterdam","Buurt","BU03630532","1","10150","5060","5085","1630","1295","3585","2505","1140","6240","2595","965","360","1160","5415","2090","125","940","1120","1140","115","11","100","10","5300","2890","1000","1420","1.9","10883","5103","182","1","99",".",".",".",".",".",".",".","93","7",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","850","540","230","1100","760","0","75","110","130","10","255","180","1940","350","1590","1475","465","0.4","2080","155","140","0.3","0.4","0.4",".",".","131","93","38","1095","1","1","6205"
"Oostelijk Havengebied","Amsterdam","Buurt","BU03630533","1","18355","9235","9120","3365","1680","5925","6130","1265","11760","4835","1505","260","3240","3860","795","165","1070","440","1395","250","13","55","2","9035","3855","2260","2925","2.0","12141","8603","315","9","91",".",".",".",".",".",".",".","67","33",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","530","650","490","1250","3260","0","180","325","455","265","1370","665","5410","1645","3765","4205","1205","0.6","3577","520","585","0.5","0.8","0.5",".",".","366","151","215","1019","1","1","4202"
"Zeeburgereiland/Nieuwe Diep","Amsterdam","Buurt","BU03630534","1","975","495","475","75","510","285","90","25","880","75","25","5","225","195","10","35","40","0","115","5","6","0","1","765","645","70","55","1.3","403","569","121","7","93",".",".",".",".",".",".",".","2","98",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","10","10","10","30","115","0","15","25","15","5","25","40","150","30","120","105","45","0.2","62","60","25","2.1","2.0","1.2",".",".","338","242","95","1095","1","4","537"
"IJburg West","Amsterdam","Buurt","BU03630535","1","14235","7045","7190","4480","1325","4780","3130","520","9320","3895","905","125","1950","4940","1305","215","1470","440","1515","170","12","15","1","5460","1700","925","2845","2.6","12355","5373","319","30","70",".",".",".",".",".",".",".","0","100",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","390","480","310","510","1695","0","80","200","240","160","795","225","3900","1115","2785","2925","975","0.7","3383","175","370","0.5","0.6","0.3",".",".","131","115","15","1087","3","2","1511"
"IJburg Zuid","Amsterdam","Buurt","BU03630551","1","6750","3230","3520","2120","575","2720","1120","225","4555","1700","455","50","940","2675","760","85","670","320","840","110","16","5","1","2660","890","445","1330","2.5","7815","2606","293","19","81",".",".",".",".",".",".",".","0","100",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","250","260","180","230","635","0","25","80","105","60","260","110","1795","535","1260","1340","455","0.7","2076","60","130","0.5","0.5","0.2",".",".","113","86","26","1087","1","3","1321"
"Frankendael","Amsterdam","Buurt","BU03630555","1","10415","5075","5340","1335","1700","3460","2430","1500","6810","2330","870","410","1695","2480","710","150","555","230","845","125","12","110","10","6155","3720","1230","1215","1.7","6418","5798","206","15","85",".",".",".",".",".",".",".","89","11",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","500","490","210","1480","1080","0","70","135","165","170","350","190","2850","885","1965","2045","805","0.5","1755","275","390","0.4","0.6","0.4",".",".","171","162","8","1097","1","1","4907"
"Middenmeer","Amsterdam","Buurt","BU03630556","1","15200","7195","8000","2715","2860","4385","3660","1585","9875","3995","915","420","2945","1925","325","115","390","155","940","205","13","60","3","7905","3995","1700","2220","1.9","5405","7353","274","6","94",".",".",".",".",".",".",".","68","32",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","160","390","300","1550","1825","0","90","205","225","155","765","385","4100","1135","2965","3360","745","0.5","1458","240","295","0.5","0.5","0.3",".",".","303","281","21","1098","1","1","4787"
