"Kerncijfers wijken en buurten 2016"
"Onderwerpen";"Regioaanduiding";"Regioaanduiding";"Regioaanduiding";"Regioaanduiding";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Oppervlakte";"Oppervlakte";"Oppervlakte";"Postcode";"Postcode";"Stedelijkheid";"Stedelijkheid"
"Houthavens";"Amsterdam";"Wijk";"WK036312";"3";"1025";"530";"495";"105";"140";"335";"340";"110";"680";"265";"75";"20";"280";"120";"15";"5";"30";"10";"65";".";".";".";".";"665";"425";"155";"90";"1.5";"3427";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"92";"30";"62";".";".";"1";"3173"
"Houthavens West";"Amsterdam";"Buurt";"BU03631200";"3";"370";"190";"180";"35";"115";"165";"50";"15";"300";"65";"10";"5";"120";"55";"5";"5";"5";"5";"40";".";".";".";".";"265";"200";"45";"30";"1.4";"1351";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"66";"28";"39";".";".";"1";"2926"
"Houthavens Oost";"Amsterdam";"Buurt";"BU03631201";"3";"650";"340";"310";"70";"30";"175";"290";"95";"380";"200";"65";"15";"160";"65";"10";"0";"20";"10";"25";".";".";".";".";"400";"230";"110";"65";"1.6";"28290";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"26";"2";"23";".";".";"1";"3675"
"Spaarndammer- en Zeeheldenbuurt";"Amsterdam";"Wijk";"WK036313";"3";"10880";"5400";"5475";"1465";"1030";"4320";"2870";"1205";"7355";"2120";"1130";"285";"1890";"3380";"875";"150";"890";"260";"1205";".";".";".";".";"6300";"3650";"1245";"1415";"1.7";"7964";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"141";"137";"4";".";".";"1";"5329"
"Zeeheldenbuurt";"Amsterdam";"Buurt";"BU03631300";"3";"2055";"985";"1065";"350";"225";"770";"530";"190";"1455";"385";"190";"35";"395";"660";"215";"25";"175";"35";"215";".";".";".";".";"1150";"625";"220";"310";"1.8";"22466";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"10";"9";"1";".";".";"1";"5126"
"Spaarndammerbuurt Noordoost";"Amsterdam";"Buurt";"BU03631301";"3";"2770";"1400";"1370";"350";"255";"990";"905";"275";"1795";"590";"335";"65";"455";"1000";"250";"45";"230";"100";"380";".";".";".";".";"1675";"1020";"290";"375";"1.7";"27783";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"11";"10";"1";".";".";"1";"5650"
"Spaarndammerbuurt Zuidoost";"Amsterdam";"Buurt";"BU03631302";"3";"1040";"510";"530";"140";"80";"435";"265";"135";"690";"235";"95";"30";"175";"265";"65";"15";"75";"20";"95";".";".";".";".";"615";"350";"160";"120";"1.7";"21265";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"6";"5";"1";".";".";"1";"7032"
"Spaarndammerbuurt Zuidwest";"Amsterdam";"Buurt";"BU03631303";"3";"1755";"845";"905";"200";"125";"715";"370";"355";"1150";"315";"195";"105";"325";"385";"55";"30";"135";"25";"145";".";".";".";".";"995";"620";"195";"185";"1.6";"23186";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"8";"8";"0";".";".";"1";"5485"
"Spaarndammerbuurt Midden";"Amsterdam";"Buurt";"BU03631304";"3";"1235";"635";"595";"165";"160";"525";"295";"95";"900";"215";"110";"15";"200";"375";"90";"15";"95";"25";"150";".";".";".";".";"735";"450";"135";"155";"1.7";"21537";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"6";"6";"0";".";".";"1";"5291"
"Spaarndammerbuurt Noordwest";"Amsterdam";"Buurt";"BU03631305";"3";"2005";"1010";"990";"265";"190";"885";"510";"160";"1365";"395";"210";"45";"335";"695";"205";"25";"190";"60";"220";".";".";".";".";"1120";"585";"255";"280";"1.8";"16824";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"12";"12";"0";".";".";"1";"3833"
"Westergasfabriek";"Amsterdam";"Buurt";"BU03631306";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";".";".";".";".";"0";"0";"0";"0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"26";"24";"1";".";".";"1";"7431"
"Overbraker Binnenpolder";"Amsterdam";"Buurt";"BU03631307";"3";"10";"0";"5";"0";"5";"5";"5";"5";"10";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";".";".";".";".";"0";"5";"5";"0";"1.5";"19";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"63";"63";"0";".";".";"2";"2348"
"Staatsliedenbuurt";"Amsterdam";"Wijk";"WK036314";"3";"13180";"6590";"6590";"1650";"1140";"5825";"3470";"1100";"9440";"2465";"1060";"220";"2665";"3225";"905";"125";"595";"260";"1345";".";".";".";".";"8040";"4890";"1650";"1510";"1.6";"27849";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"53";"47";"6";".";".";"1";"9112"
"De Wittenbuurt Noord";"Amsterdam";"Buurt";"BU03631400";"3";"1385";"690";"695";"185";"125";"600";"345";"140";"955";"295";"115";"30";"280";"340";"100";"15";"55";"30";"140";".";".";".";".";"845";"530";"165";"165";"1.6";"21772";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"7";"6";"1";".";".";"1";"9543"
"De Wittenbuurt Zuid";"Amsterdam";"Buurt";"BU03631401";"3";"895";"450";"445";"75";"100";"245";"350";"130";"580";"205";"100";"20";"175";"225";"80";"5";"45";"10";"90";".";".";".";".";"555";"360";"105";"100";"1.6";"25240";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"5";"4";"1";".";".";"1";"10865"
"Staatsliedenbuurt Noordoost";"Amsterdam";"Buurt";"BU03631402";"3";"1215";"605";"610";"120";"105";"330";"405";"265";"685";"290";"175";"75";"220";"410";"110";"10";"100";"30";"160";".";".";".";".";"760";"470";"155";"140";"1.6";"20649";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"7";"6";"1";".";".";"1";"8860"
"Fannius Scholtenbuurt";"Amsterdam";"Buurt";"BU03631403";"3";"3680";"1870";"1810";"455";"290";"1785";"945";"215";"2790";"580";"275";"50";"755";"925";"245";"35";"190";"105";"350";".";".";".";".";"2345";"1505";"445";"405";"1.6";"35460";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"11";"10";"1";".";".";"1";"8909"
"Westerstaatsman";"Amsterdam";"Buurt";"BU03631404";"3";"2825";"1405";"1420";"350";"235";"1530";"595";"120";"2210";"420";"190";"20";"630";"630";"175";"25";"95";"30";"310";".";".";".";".";"1790";"1150";"345";"305";"1.6";"28766";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"10";"10";"0";".";".";"1";"8176"
"Buyskade e.o.";"Amsterdam";"Buurt";"BU03631405";"3";"3165";"1565";"1600";"470";"290";"1340";"835";"235";"2230";"690";"220";"40";"615";"700";"200";"40";"115";"55";"295";".";".";".";".";"1730";"880";"450";"405";"1.8";"28062";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"13";"11";"2";".";".";"1";"9711"
"Centrale Markt";"Amsterdam";"Wijk";"WK036315";"3";"2490";"1205";"1285";"340";"345";"690";"865";"255";"1585";"610";"240";"65";"455";"655";"230";"25";"120";"60";"230";".";".";".";".";"1270";"625";"240";"415";"1.9";"4793";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"57";"52";"5";".";".";"1";"8734"
"Ecowijk";"Amsterdam";"Buurt";"BU03631500";"3";"1350";"645";"705";"215";"235";"280";"545";"85";"880";"325";"130";"25";"240";"315";"120";"10";"55";"15";"120";".";".";".";".";"625";"255";"110";"265";"2.2";"21220";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"7";"6";"0";".";".";"1";"7004"
"Markthallen";"Amsterdam";"Buurt";"BU03631501";"3";"75";"40";"30";"5";"10";"20";"30";"20";"35";"25";"15";"5";"10";"5";"0";"0";"5";"0";"5";".";".";".";".";"40";"20";"15";"15";"1.8";"291";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"28";"26";"3";".";".";"1";"8803"
"Bedrijvencentrum Westerkwartier";"Amsterdam";"Buurt";"BU03631502";"3";"65";"35";"25";"10";"10";"20";"25";"5";"40";"25";"5";"5";"5";"5";"0";"0";"0";"0";"5";".";".";".";".";"30";"10";"10";"15";"2.2";"469";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"15";"14";"1";".";".";"1";"6082"
"Marcanti";"Amsterdam";"Buurt";"BU03631503";"3";"1000";"480";"515";"115";"95";"375";"275";"150";"640";"240";"95";"35";"200";"335";"110";"15";"65";"40";"110";".";".";".";".";"575";"340";"115";"125";"1.7";"17188";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"7";"6";"1";".";".";"1";"11218"
"Frederik Hendrikbuurt";"Amsterdam";"Wijk";"WK036316";"3";"8490";"4185";"4305";"925";"790";"3805";"2095";"880";"6050";"1545";"705";"200";"1760";"1810";"515";"90";"270";"150";"790";".";".";".";".";"5135";"3125";"1140";"875";"1.6";"23681";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"42";"36";"6";".";".";"1";"11655"
"Frederik Hendrikbuurt Noord";"Amsterdam";"Buurt";"BU03631600";"3";"3875";"1845";"2025";"445";"365";"1750";"950";"365";"2765";"715";"330";"75";"845";"745";"215";"35";"95";"60";"340";".";".";".";".";"2350";"1385";"530";"445";"1.6";"21177";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"21";"18";"3";".";".";"1";"11492"
"Frederik Hendrikbuurt Zuidoost";"Amsterdam";"Buurt";"BU03631601";"3";"3340";"1745";"1590";"335";"315";"1680";"750";"270";"2515";"525";"265";"45";"690";"815";"200";"50";"130";"70";"370";".";".";".";".";"2095";"1375";"450";"280";"1.5";"29530";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"12";"11";"1";".";".";"1";"11831"
"Frederik Hendrikbuurt Zuidwest";"Amsterdam";"Buurt";"BU03631602";"3";"1275";"585";"685";"145";"110";"380";"400";"245";"775";"310";"115";"85";"225";"250";"100";"5";"45";"20";"85";".";".";".";".";"685";"370";"165";"155";"1.7";"20419";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"8";"6";"2";".";".";"1";"11655"
"Da Costabuurt";"Amsterdam";"Wijk";"WK036317";"3";"4680";"2340";"2340";"490";"475";"2105";"1090";"535";"3350";"885";"360";"95";"1095";"695";"130";"60";"130";"55";"320";".";".";".";".";"2995";"1885";"650";"470";"1.6";"21545";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"26";"22";"4";".";".";"1";"11862"
"Da Costabuurt Noord";"Amsterdam";"Buurt";"BU03631700";"3";"4680";"2340";"2340";"490";"475";"2105";"1090";"535";"3350";"885";"360";"95";"1095";"695";"130";"60";"130";"55";"320";".";".";".";".";"2995";"1885";"650";"470";"1.6";"21545";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"26";"22";"4";".";".";"1";"11862"
"Kinkerbuurt";"Amsterdam";"Wijk";"WK036318";"3";"6345";"3290";"3050";"640";"690";"3115";"1430";"480";"4815";"930";"515";"90";"1210";"1495";"410";"80";"285";"190";"530";".";".";".";".";"4225";"2825";"800";"605";"1.5";"25163";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"27";"25";"2";".";".";"1";"11959"
"Bellamybuurt Noord";"Amsterdam";"Buurt";"BU03631800";"3";"2810";"1540";"1270";"320";"255";"1295";"715";"230";"2095";"435";"245";"45";"480";"725";"210";"40";"155";"80";"240";".";".";".";".";"1865";"1275";"320";"280";"1.5";"29296";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"11";"10";"1";".";".";"1";"12091"
"Bellamybuurt Zuid";"Amsterdam";"Buurt";"BU03631801";"3";"3530";"1750";"1780";"320";"435";"1815";"715";"250";"2720";"500";"275";"50";"735";"770";"200";"40";"130";"110";"290";".";".";".";".";"2355";"1555";"480";"325";"1.5";"22621";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"16";"16";"1";".";".";"1";"11881"
"Van Lennepbuurt";"Amsterdam";"Wijk";"WK036319";"3";"7070";"3485";"3580";"715";"745";"2935";"1820";"865";"4950";"1290";"650";"190";"1355";"2075";"625";"65";"420";"250";"725";".";".";".";".";"4595";"3065";"815";"720";"1.5";"28338";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"29";"25";"4";".";".";"1";"10842"
"Da Costabuurt Zuid";"Amsterdam";"Buurt";"BU03631900";"3";"2240";"1145";"1090";"210";"260";"1170";"460";"145";"1765";"330";"130";"25";"525";"385";"60";"25";"75";"30";"195";".";".";".";".";"1535";"1065";"280";"200";"1.5";"30787";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"9";"7";"2";".";".";"1";"11291"
"Borgerbuurt";"Amsterdam";"Buurt";"BU03631901";"3";"2885";"1350";"1535";"300";"290";"835";"880";"585";"1735";"670";"350";"140";"430";"1195";"425";"20";"260";"160";"330";".";".";".";".";"1780";"1155";"305";"330";"1.6";"25490";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"12";"11";"1";".";".";"1";"10887"
"Lootsbuurt";"Amsterdam";"Buurt";"BU03631902";"3";"1940";"985";"955";"205";"195";"930";"485";"135";"1455";"295";"170";"30";"400";"500";"135";"20";"85";"60";"200";".";".";".";".";"1275";"850";"240";"195";"1.5";"30612";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"7";"6";"1";".";".";"1";"10226"
"Helmersbuurt";"Amsterdam";"Wijk";"WK036320";"3";"7500";"3585";"3915";"990";"820";"3090";"1880";"725";"5410";"1465";"525";"105";"1760";"950";"110";"75";"195";"70";"505";".";".";".";".";"4540";"2755";"965";"830";"1.6";"22395";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"35";"34";"1";".";".";"1";"10188"
"Helmersbuurt Oost";"Amsterdam";"Buurt";"BU03632000";"3";"2710";"1295";"1415";"400";"345";"1190";"555";"230";"1970";"575";"140";"30";"680";"270";"20";"25";"45";"15";"170";".";".";".";".";"1600";"955";"355";"300";"1.7";"26144";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"11";"10";"1";".";".";"1";"10106"
"WG-terrein";"Amsterdam";"Buurt";"BU03632001";"3";"2535";"1200";"1335";"305";"265";"800";"815";"360";"1710";"535";"250";"55";"540";"415";"65";"30";"105";"40";"180";".";".";".";".";"1535";"950";"300";"290";"1.6";"15475";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"17";"16";"0";".";".";"1";"10246"
"Cremerbuurt Oost";"Amsterdam";"Buurt";"BU03632002";"3";"2250";"1085";"1160";"290";"215";"1105";"515";"140";"1735";"360";"140";"25";"540";"270";"30";"25";"45";"20";"160";".";".";".";".";"1400";"850";"310";"245";"1.6";"33476";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"7";"7";"0";".";".";"1";"10188"
"Overtoomse Sluis";"Amsterdam";"Wijk";"WK036321";"3";"7785";"3765";"4015";"925";"705";"3810";"1730";"615";"5765";"1395";"515";"120";"1885";"965";"130";"65";"165";"90";"515";".";".";".";".";"4745";"2845";"1090";"820";"1.6";"26126";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"31";"30";"1";".";".";"1";"9222"
"Cremerbuurt West";"Amsterdam";"Buurt";"BU03632100";"3";"5620";"2735";"2885";"655";"480";"2905";"1200";"385";"4265";"935";"360";"70";"1370";"715";"115";"50";"110";"80";"370";".";".";".";".";"3510";"2140";"800";"580";"1.6";"28572";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"21";"20";"1";".";".";"1";"9445"
"Vondelparkbuurt West";"Amsterdam";"Buurt";"BU03632101";"3";"2160";"1030";"1130";"270";"225";"910";"530";"230";"1505";"460";"155";"50";"515";"250";"20";"20";"55";"15";"145";".";".";".";".";"1235";"705";"295";"240";"1.7";"21371";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"10";"10";"0";".";".";"1";"8566"
"Vondelbuurt";"Amsterdam";"Wijk";"WK036322";"3";"1855";"935";"920";"285";"175";"560";"515";"325";"1170";"465";"160";"70";"490";"270";"45";"15";"50";"15";"155";".";".";".";".";"1035";"615";"210";"220";"1.7";"8574";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"22";"22";"0";".";".";"1";"9567"
"Vondelparkbuurt Oost";"Amsterdam";"Buurt";"BU03632200";"3";"930";"485";"440";"135";"90";"320";"260";"125";"610";"235";"75";"20";"280";"120";"15";"5";"25";"5";"80";".";".";".";".";"540";"320";"120";"110";"1.7";"7396";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"13";"13";"0";".";".";"1";"9665"
