"Kerncijfers wijken en buurten 2016"
"Onderwerpen";"Regioaanduiding";"Regioaanduiding";"Regioaanduiding";"Regioaanduiding";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Oppervlakte";"Oppervlakte";"Oppervlakte";"Postcode";"Postcode";"Stedelijkheid";"Stedelijkheid"
"BG-terrein e.o.";"Amsterdam";"Buurt";"BU03630004";"3";"605";"330";"270";"45";"85";"250";"170";"70";"450";"115";"40";"10";"140";"85";"10";"5";"15";"10";"50";".";".";".";".";"425";"305";"75";"50";"1.4";"7157";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"10";"8";"2";".";".";"1";"8428"
"Burgwallen-Nieuwe Zijde";"Amsterdam";"Wijk";"WK036301";"3";"3960";"2150";"1805";"220";"595";"2100";"775";"285";"3140";"545";"245";"35";"1255";"630";"35";"35";"65";"40";"465";".";".";".";".";"2900";"2105";"625";"175";"1.4";"6935";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"73";"57";"16";".";".";"1";"9206"
"Stationsplein e.o.";"Amsterdam";"Buurt";"BU03630100";"3";"0";"0";"0";"0";"0";"5";"0";"0";"5";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";".";".";".";".";"0";"0";"5";"0";"2.0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"26";"14";"12";".";".";"1";"6379"
"Hemelrijk";"Amsterdam";"Buurt";"BU03630101";"3";"510";"280";"225";"20";"70";"295";"100";"35";"425";"50";"40";"5";"155";"70";"5";"10";"15";"5";"40";".";".";".";".";"390";"295";"80";"25";"1.3";"9267";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"6";"6";"1";".";".";"1";"8789"
"Nieuwendijk Noord";"Amsterdam";"Buurt";"BU03630102";"3";"430";"255";"175";"25";"55";"240";"100";"20";"335";"75";"30";"5";"150";"100";"5";"0";"5";"10";"85";".";".";".";".";"300";"205";"80";"25";"1.4";"7826";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"7";"6";"1";".";".";"1";"7044"
"Spuistraat Noord";"Amsterdam";"Buurt";"BU03630103";"3";"815";"455";"360";"45";"150";"420";"140";"70";"650";"120";"45";"10";"275";"120";"5";"5";"15";"10";"90";".";".";".";".";"590";"435";"125";"35";"1.4";"16215";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"6";"5";"1";".";".";"1";"9740"
"Nieuwe Kerk e.o.";"Amsterdam";"Buurt";"BU03630104";"3";"815";"455";"360";"45";"145";"470";"130";"40";"660";"120";"40";"10";"265";"145";"10";"5";"10";"5";"115";".";".";".";".";"585";"410";"145";"35";"1.4";"9726";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"8";"8";"0";".";".";"1";"9539"
"Spuistraat Zuid";"Amsterdam";"Buurt";"BU03630105";"3";"685";"375";"310";"65";"80";"335";"165";"55";"540";"100";"40";"10";"230";"100";"10";"5";"10";"5";"75";".";".";".";".";"505";"385";"85";"45";"1.4";"11532";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"7";"6";"1";".";".";"1";"9919"
"Begijnhofbuurt";"Amsterdam";"Buurt";"BU03630106";"3";"415";"170";"240";"10";"45";"210";"95";"60";"315";"50";"55";"5";"105";"60";"5";"5";"10";"5";"40";".";".";".";".";"330";"260";"65";"10";"1.2";"5891";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"7";"7";"0";".";".";"1";"9877"
"Kalverdriehoek";"Amsterdam";"Buurt";"BU03630107";"3";"275";"150";"120";"20";"65";"135";"55";"15";"225";"40";"15";"0";"80";"35";"0";"5";"5";"0";"30";".";".";".";".";"185";"125";"60";"10";"1.5";"5243";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"6";"5";"1";".";".";"1";"9639"
